section_title,section_type,classification_label,code,descriptor,period,duration,variable1_label,variable1_code,variable1_descriptor,variable2_label,variable2_code,variable2_descriptor,value_type_description,value,value_label,decimals,confidentiality_indicator,confidentiality_label,final_indicator,final_label,last_updated_at_source
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,Gender,1,Male / Tāne,Percent,1.900000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,Gender,2,Female / Wahine,Percent,2.600000,percent,1,,,,,2024-07-15 09:16:49+00
Gender and age,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,Gender,3,Another gender / He ira kē anō,Percent,0.000000,percent,1,,,,,2024-07-15 09:16:49+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,10,"Partnered, nfd",,,,Count,114.000000,,0,,,,,2024-10-24 13:02:48+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,10,"Partnered, nfd",,,,Count,129.000000,,0,,,,,2024-10-24 13:02:48+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,10,"Partnered, nfd",,,,Count,42.000000,,0,,,,,2024-10-24 13:05:40+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,11,Spouse,,,,Count,906.000000,,0,,,,,2024-10-24 13:02:48+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,11,Spouse,,,,Count,828.000000,,0,,,,,2024-10-24 13:02:48+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,11,Spouse,,,,Count,1494.000000,,0,,,,,2024-10-24 13:05:40+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,12,Civil union partner,,,,Count,,,0,S,S,,,2024-10-24 13:02:46+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,12,Civil union partner,,,,Count,,,0,S,S,,,2024-10-24 13:02:46+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,12,Civil union partner,,,,Count,0.000000,,0,,,,,2024-10-24 13:05:40+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,13,De facto partner,,,,Count,105.000000,,0,,,,,2024-10-24 13:02:48+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,13,De facto partner,,,,Count,138.000000,,0,,,,,2024-10-24 13:02:48+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,13,De facto partner,,,,Count,324.000000,,0,,,,,2024-10-24 13:05:40+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,2,Non-partnered,,,,Count,807.000000,,0,,,,,2024-10-24 13:02:46+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,2,Non-partnered,,,,Count,771.000000,,0,,,,,2024-10-24 13:02:46+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,2,Non-partnered,,,,Count,2106.000000,,0,,,,,2024-10-24 13:05:41+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,10,"Partnered, nfd",,,,Percent,5.900000,percent,1,,,,,2024-10-24 13:04:56+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,10,"Partnered, nfd",,,,Percent,6.900000,percent,1,,,,,2024-10-24 13:04:56+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,10,"Partnered, nfd",,,,Percent,1.100000,percent,1,,,,,2024-10-24 13:06:18+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,11,Spouse,,,,Percent,46.700000,percent,1,,,,,2024-10-24 13:04:56+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,11,Spouse,,,,Percent,44.400000,percent,1,,,,,2024-10-24 13:04:56+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,11,Spouse,,,,Percent,37.600000,percent,1,,,,,2024-10-24 13:06:18+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,12,Civil union partner,,,,Percent,,percent,1,S,S,,,2024-10-24 13:04:55+00
